"site","circle","survey","realPlantSp"
117,1,"A","White mulberry"
117,1,"B","Box elder"
117,1,"C","Box elder"
117,1,"D","Box elder"
117,1,"E","Common persimmon"
117,2,"A","Red maple"
117,2,"B","Sweet gum"
117,2,"C","Sweet gum"
117,2,"D","Sweet gum"
117,2,"E","Box elder"
117,3,"A","Common persimmon"
117,3,"B","Carolina silverbell"
117,3,"C","Sweet gum"
117,3,"D","Bitternut hickory"
117,3,"E","Devil's walkingstick"
117,4,"A","Sweet gum"
117,4,"B","American hazelnut"
117,4,"C","Common persimmon"
117,4,"D","Black willow"
117,4,"E","Box elder"
117,5,"A","American bladdernut"
117,5,"B","Dwarf paw paw"
117,5,"C","Tuliptree"
117,5,"D","Red maple"
117,5,"E","Sweet gum"
117,6,"A","Carolina ash"
117,6,"B","Common persimmon"
117,6,"C","Fringetree"
117,6,"D","Common persimmon"
117,6,"E","Dwarf Pawpaw"
117,7,"A","Pin oak"
117,7,"B","Common persimmon"
117,7,"C","Pin oak"
117,7,"D","Sweet gum"
117,7,"E","Sweet gum"
117,8,"A","Chalk maple"
117,8,"B","Chalk maple"
117,8,"C","American beech"
117,8,"D","Slippery elm"
117,8,"E","Chalk maple"
117,9,"A","Box elder"
117,9,"B","Box elder"
117,9,"C","Common persimmon"
117,9,"D","Sweet gum"
117,9,"E","Sweet gum"
117,10,"A","Common persimmon"
117,10,"B","Black oak"
117,10,"C","White mulberry"
117,10,"D","Box elder"
117,10,"E","Flowering dogwood"
117,11,"A","Sourwood"
117,11,"B","Red maple"
117,11,"C","American sycamore"
117,11,"D","Common persimmon"
117,11,"E","Common persimmon"
117,12,"A","Sweet gum"
117,12,"B","Sweet gum"
117,12,"C","Hazel alder"
117,12,"D","Sweet gum"
117,12,"E","Sweet gum"
8892351,1,"A","American hornbeam"
8892351,1,"B","Sweet gum"
8892351,1,"C","Tuliptree"
8892351,1,"D","Eastern redbud"
8892351,1,"E","Sweet gum"
8892351,2,"A","Red maple"
8892351,2,"B","American hornbeam"
8892351,2,"C","American hornbeam"
8892351,2,"D","American hornbeam"
8892351,2,"E","Red maple"
8892351,3,"A","Spicebush"
8892351,3,"B","Carolina silverbell"
8892351,3,"C","Spicebush"
8892351,3,"D","White oak"
8892351,3,"E","American holly"
8892351,4,"A","American hornbeam"
8892351,4,"B","Sweet gum"
8892351,4,"C","Highbush blueberry"
8892351,4,"D","American hornbeam"
8892351,4,"E","American hornbeam"
8892351,5,"A","Flowering dogwood"
8892351,5,"B","American hornbeam"
8892351,5,"C","American hornbeam"
8892351,5,"D","Sweet gum"
8892351,5,"E","Sweet gum"
8892351,6,"A","American hornbeam"
8892351,6,"B","American hornbeam"
8892351,6,"C","American hornbeam"
8892351,6,"D","American hornbeam"
8892351,6,"E","American hornbeam"
8892351,7,"A","American hornbeam"
8892351,7,"B","American hornbeam"
8892351,7,"C","American hornbeam"
8892351,7,"D","American hornbeam"
8892351,7,"E","American hornbeam"
8892351,8,"A","Sugar maple"
8892351,8,"B","American hornbeam"
8892351,8,"C","American hornbeam"
8892351,8,"D","Sweet gum"
8892351,8,"E","Sweet gum"
8892356,1,"A","Spicebush"
8892356,1,"B","Spicebush"
8892356,1,"C","Winged elm"
8892356,1,"D","Paw paw"
8892356,1,"E","Spicebush"
8892356,2,"A","Red oak"
8892356,2,"B","Spicebush"
8892356,2,"C","American beech"
8892356,2,"D","Spicebush"
8892356,2,"E","Spicebush"
8892356,3,"A","American beech"
8892356,3,"B","American beech"
8892356,3,"C","Black gum"
8892356,3,"D","American beech"
8892356,3,"E","American beech"
8892356,4,"A","American beech"
8892356,4,"B","Red maple"
8892356,4,"C","American beech"
8892356,4,"D","American beech"
8892356,4,"E","Sugar maple"
8892356,5,"A","Red maple"
8892356,5,"B","American beech"
8892356,5,"C","Sourwood"
8892356,5,"D","Black gum"
8892356,5,"E","American beech"
8892356,6,"A","Sugar maple"
8892356,6,"B","American beech"
8892356,6,"C","American beech"
8892356,6,"D","Sugar maple"
8892356,6,"E","Sourwood"
8892356,7,"A","American beech"
8892356,7,"B","Spicebush"
8892356,7,"C","Sugar maple"
8892356,7,"D","Sugar maple"
8892356,7,"E","American beech"
8892356,8,"A","Sugar maple"
8892356,8,"B","Sugar maple"
8892356,8,"C","Spicebush"
8892356,8,"D","Sugar maple"
8892356,8,"E","Sugar maple"
8892360,1,"A","Mockernut hickory"
8892360,1,"B","Red maple"
8892360,1,"C","Sweet gum"
8892360,1,"D","White ash"
8892360,1,"E","Red maple"
8892360,2,"A","Red maple"
8892360,2,"B","Ironwood"
8892360,2,"C","Sweet gum"
8892360,2,"D","Sweet gum"
8892360,2,"E","Black oak"
8892360,3,"A","Sweet gum"
8892360,3,"B","Sourwood"
8892360,3,"C","Mockernut hickory"
8892360,3,"D","American beech"
8892360,3,"E","American beech"
8892360,4,"A","Mockernut hickory"
8892360,4,"B","Sweet gum"
8892360,4,"C","Black oak"
8892360,4,"D","Alternate-leaf dogwood"
8892360,4,"E","Ironwood"
2704111,1,"A","red maple"
2704111,1,"B","red maple"
2704111,2,"A","unidentified"
2704111,2,"B","red maple"
2704111,3,"A","unid. rhododendron"
2704111,3,"B","red maple"
2704111,4,"A","unid. rhododendron"
2704111,4,"B","chestnut oak"
2704132,0,"A","great rhododendron"
2704132,0,"B","great rhododendron"
2704132,0,"C","great rhododendron"
2704132,0,"D","american hornbeam"
2704132,0,"F","great rhododendron"
2704132,0,"I","great rhododendron"
2704132,0,"J","great rhododendron"
2704132,0,"K","american beech"
2704132,0,"N","striped maple"
2704132,0,"O","great rhododendron"
2704132,0,"P","american basswood"
2704132,0,"R","american beech"
2704132,1,"A","great rhododendron"
2704132,1,"B","american hornbeam"
2704132,1,"C","american beech"
2704132,1,"D","great rhododendron"
2704132,2,"A","sugar maple"
2704132,2,"B","great rhododendron"
2704132,2,"C","american beech"
2704132,2,"D","carolina silverbell"
2704132,2,"E","carolina silverbell"
2704132,3,"A","american beech"
2704132,3,"B","great rhododendron"
2704132,3,"D","american beech"
2704132,3,"E","american beech"
2704132,4,"B","red maple"
2704132,4,"C","american hornbeam"
2704132,4,"D","american hornbeam"
2704132,4,"E","red maple"
2704132,5,"B","tulip poplar"
2704132,5,"C","american beech"
2704132,5,"D","great rhododendron"
2704132,5,"E","great rhododendron"
6302205,1,"A","great rhododendron"
6302205,1,"B","mountain laurel"
6302205,1,"C","sourwood"
6302205,1,"D","red maple"
6302205,2,"A","striped maple"
6302205,2,"B","black gum"
6302205,2,"C","red maple"
6302205,2,"D","red maple"
6302205,2,"E","striped maple"
6302205,3,"A","american beech"
6302205,3,"B","mountain laurel"
6302205,3,"C","mountain laurel"
6302205,3,"D","red maple"
6302205,3,"E","red maple"
6302205,3,"F","mountain laurel"
6302205,4,"A","buffalo nut"
6302205,4,"B","mountain laurel"
6302205,4,"C","mountain laurel"
6302205,4,"D","mountain laurel"
6302205,4,"E","mountain laurel"
6302205,5,"A","great rhododendron"
6302205,5,"B","great rhododendron"
6302205,5,"C","great rhododendron"
6302205,5,"D","mountain laurel"
6302205,5,"E","mountain laurel"
6303105,1,"A","unid. rhododendron"
6303105,1,"B","mountain laurel"
6303105,2,"A","american chestnut"
6303105,3,"A","sourwood"
6303105,3,"B","witch hazel"
6303105,4,"A","unid. rhododendron"
6303105,4,"B","unid. rhododendron"
6303117,0,"A","great rhododendron"
6303117,0,"B","great rhododendron"
6303117,0,"C","american basswood"
6303117,0,"D","great rhododendron"
6303117,0,"E","great rhododendron"
6303117,0,"F","great rhododendron"
6303117,0,"G","great rhododendron"
6303117,0,"H","great rhododendron"
6303117,0,"I","american beech"
6303117,0,"J","great rhododendron"
6303117,0,"K","great rhododendron"
6303117,0,"L","american beech"
6303117,0,"M","yellow buckeye"
6303117,0,"N","witch hazel"
6303117,0,"O","sugar maple"
6303117,0,"P","witch hazel"
6303117,0,"Q","witch hazel"
6303117,0,"R","witch hazel"
6303117,1,"A","great rhododendron"
6303117,1,"B","witch hazel"
6303117,1,"C","great rhododendron"
6303117,1,"D","fraser magnolia"
6303117,1,"E","witch hazel"
6303117,2,"A","striped maple"
6303117,2,"B","witch hazel"
6303117,2,"C","striped maple"
6303117,2,"D","witch hazel"
6303117,3,"B","american beech"
6303117,3,"C","great rhododendron"
6303117,3,"D","striped maple"
6303117,3,"E","american beech"
6303117,3,"F","american beech"
6303117,4,"B","great rhododendron"
6303117,4,"D","mountain laurel"
6303117,4,"E","great rhododendron"
6303117,5,"A","great rhododendron"
6303117,5,"B","great rhododendron"
6303117,5,"C","great rhododendron"
6303117,5,"D","great rhododendron"
6303117,5,"E","great rhododendron"
6390615,1,"B","sugar maple"
6390615,2,"B","striped maple"
6390615,3,"A","unid. rhododendron"
6390627,1,"A","striped maple"
6390627,1,"B","great rhododendron"
6390627,1,"C","striped maple"
6390627,1,"D","striped maple"
6390627,1,"E","great rhododendron"
6390627,2,"A","fraser magnolia"
6390627,2,"B","great rhododendron"
6390627,2,"D","sugar maple"
6390627,2,"E","great rhododendron"
6390627,3,"A","striped maple"
6390627,3,"B","carolina silverbell"
6390627,3,"C","american beech"
6390627,3,"E","american beech"
6390627,3,"F","striped maple"
6390627,4,"A","sourwood"
6390627,4,"B","great rhododendron"
6390627,4,"C","carolina silverbell"
6390627,4,"D","great rhododendron"
6390627,4,"E","sugar maple"
6390627,5,"A","great rhododendron"
6390627,5,"B","striped maple"
6390627,5,"C","american beech"
6390627,5,"D","carolina silverbell"
6390627,5,"E","great rhododendron"
6390644,0,"B","great rhododendron"
6390644,0,"D","sugar maple"
6390644,0,"E","buffalo nut"
6390644,0,"F","american basswood"
6390644,0,"G","buffalo nut"
6390644,0,"H","buffalo nut"
6390644,0,"I","buffalo nut"
6390644,0,"J","yellow buckeye"
6390644,0,"L","yellow buckeye"
6390644,0,"M","buffalo nut"
6390644,0,"N","american beech"
6390644,0,"P","buffalo nut"
6390644,0,"R","great rhododendron"
6390644,1,"A","red maple"
6390644,1,"B","buffalo nut"
6390644,1,"D","mountain holly"
6390644,1,"E","great rhododendron"
6390644,2,"D","buffalo nut"
6390644,2,"E","american basswood"
6390644,3,"A","chestnut oak"
6390644,3,"B","yellow buckeye"
6390644,3,"C","red maple"
6390644,3,"E","red maple"
6390644,3,"F","yellow buckeye"
6390644,4,"A","buffalo nut"
6390644,4,"B","yellow buckeye"
6390644,4,"C","buffalo nut"
6390644,4,"E","red maple"
6390644,5,"A","sourwood"
6390644,5,"C","striped maple"
6390644,5,"E","fraser magnolia"
6390909,1,"A","mountain laurel"
6390909,1,"B","red maple"
6390909,1,"C","red maple"
6390909,1,"D","unid. hickory"
6390909,1,"E","mountain laurel"
6390909,2,"B","mountain laurel"
6390909,2,"C","mountain laurel"
6390909,2,"D","mountain laurel"
6390909,2,"E","sourwood"
6390909,3,"A","mountain laurel"
6390909,3,"D","mountain laurel"
6390909,3,"E","great rhododendron"
6390909,3,"F","mountain laurel"
6390909,4,"A","great rhododendron"
6390909,4,"B","mountain laurel"
6390909,4,"D","black gum"
6390909,4,"E","mountain laurel"
6390909,5,"A","black gum"
6390909,5,"B","mountain laurel"
6390909,5,"C","great rhododendron"
6390909,5,"E","sourwood"
6390944,1,"A","mountain laurel"
6390944,1,"B","mountain laurel"
6390944,1,"C","mountain laurel"
6390944,1,"D","mountain laurel"
6390944,1,"E","sourwood"
6390944,2,"A","red maple"
6390944,2,"B","mountain laurel"
6390944,2,"C","mountain laurel"
6390944,2,"E","striped maple"
6390944,3,"A","great rhododendron"
6390944,3,"B","mountain laurel"
6390944,3,"C","mountain laurel"
6390944,3,"D","great rhododendron"
6390944,3,"E","great rhododendron"
6390944,3,"F","american beech"
6390944,4,"B","great rhododendron"
6390944,4,"C","red maple"
6390944,4,"D","sourwood"
6390944,5,"A","mountain laurel"
6390944,5,"B","mountain laurel"
6390944,5,"C","great rhododendron"
6390944,5,"D","great rhododendron"
6390944,5,"E","american beech"
6391006,0,"A","mountain laurel"
6391006,0,"B","red maple"
6391006,0,"C","red maple"
6391006,0,"D","mountain laurel"
6391006,0,"E","great rhododendron"
6391006,0,"F","great rhododendron"
6391006,0,"G","mountain laurel"
6391006,0,"H","mountain laurel"
6391006,0,"I","mountain laurel"
6391006,0,"J","mountain laurel"
6391006,0,"M","mountain laurel"
6391006,0,"O","red maple"
6391006,0,"Q","mountain laurel"
6391006,0,"R","black gum"
6391006,1,"A","mountain laurel"
6391006,1,"B","great rhododendron"
6391006,1,"C","great rhododendron"
6391006,1,"D","sassafras"
6391006,1,"E","great rhododendron"
6391006,2,"B","red maple"
6391006,2,"C","great rhododendron"
6391006,2,"E","red maple"
6391006,3,"A","great rhododendron"
6391006,3,"B","mountain laurel"
6391006,3,"C","mountain laurel"
6391006,3,"D","mountain laurel"
6391006,3,"E","great rhododendron"
6391006,3,"F","great rhododendron"
6391006,4,"A","mountain laurel"
6391006,4,"B","great rhododendron"
6391006,4,"D","mountain laurel"
6391006,4,"E","witch hazel"
6391006,5,"A","sourwood"
6391006,5,"B","red maple"
6391006,5,"C","red maple"
6391006,5,"D","mountain laurel"
6391006,5,"E","red maple"
6391028,0,"A","great rhododendron"
6391028,0,"B","great rhododendron"
6391028,0,"C","great rhododendron"
6391028,0,"D","great rhododendron"
6391028,0,"E","great rhododendron"
6391028,0,"F","great rhododendron"
6391028,0,"G","great rhododendron"
6391028,0,"H","great rhododendron"
6391028,0,"I","american chestnut"
6391028,0,"J","american chestnut"
6391028,0,"L","great rhododendron"
6391028,0,"M","fraser magnolia"
6391028,0,"O","carolina silverbell"
6391028,0,"Q","witch hazel"
6391028,0,"R","great rhododendron"
6391028,1,"B","great rhododendron"
6391028,1,"C","great rhododendron"
6391028,1,"D","great rhododendron"
6391028,1,"E","great rhododendron"
6391028,2,"B","great rhododendron"
6391028,2,"C","great rhododendron"
6391028,2,"D","great rhododendron"
6391028,2,"E","american chestnut"
6391028,3,"A","great rhododendron"
6391028,3,"C","great rhododendron"
6391028,3,"D","great rhododendron"
6391028,3,"E","great rhododendron"
6391028,3,"F","great rhododendron"
6391028,4,"B","fraser magnolia"
6391028,4,"C","fraser magnolia"
6391028,4,"D","red maple"
6391028,4,"E","fraser magnolia"
6391028,5,"A","great rhododendron"
6391028,5,"C","great rhododendron"
6391028,5,"D","great rhododendron"
6391028,5,"E","great rhododendron"
6391108,0,"A","carolina silverbell"
6391108,0,"D","yellow buckeye"
6391108,0,"F","american beech"
6391108,0,"G","great rhododendron"
6391108,0,"I","yellow birch"
6391108,0,"J","great rhododendron"
6391108,0,"K","great rhododendron"
6391108,0,"L","great rhododendron"
6391108,0,"M","great rhododendron"
6391108,0,"N","great rhododendron"
6391108,0,"P","great rhododendron"
6391108,0,"Q","great rhododendron"
6391108,0,"R","great rhododendron"
6391108,1,"A","american chestnut"
6391108,1,"B","american chestnut"
6391108,1,"C","great rhododendron"
6391108,1,"D","sugar maple"
6391108,1,"E","great rhododendron"
6391108,2,"A","great rhododendron"
6391108,2,"B","american beech"
6391108,2,"C","american beech"
6391108,2,"D","american beech"
6391108,2,"E","american beech"
6391108,3,"A","great rhododendron"
6391108,3,"B","great rhododendron"
6391108,3,"C","great rhododendron"
6391108,3,"D","great rhododendron"
6391108,3,"E","great rhododendron"
6391108,4,"A","great rhododendron"
6391108,4,"B","red maple"
6391108,4,"C","great rhododendron"
6391108,4,"D","great rhododendron"
6391108,4,"E","great rhododendron"
