"site","circle","survey","realPlantSp"
6391108,5,"A","great rhododendron"
6391108,5,"B","witch hazel"
6391108,5,"C","great rhododendron"
6391108,5,"D","great rhododendron"
6391108,5,"E","witch hazel"
6391138,3,"A","unid. rhododendron"
6391138,3,"B","striped maple"
8204206,1,"A","unid. rhododendron"
8204206,1,"B","unid. rhododendron"
8204206,2,"A","unid. rhododendron"
8204206,2,"B","unid. rhododendron"
8204206,3,"A","unid. rhododendron"
8204206,4,"A","unid. rhododendron"
8204206,4,"B","unid. rhododendron"
8204219,1,"A","sassafras"
8204219,1,"B","great rhododendron"
8204219,1,"C","striped maple"
8204219,1,"D","great rhododendron"
8204219,1,"E","great rhododendron"
8204219,2,"A","great rhododendron"
8204219,2,"B","great rhododendron"
8204219,2,"C","great rhododendron"
8204219,2,"D","great rhododendron"
8204219,2,"E","red oak"
8204219,3,"A","great rhododendron"
8204219,3,"B","great rhododendron"
8204219,3,"C","great rhododendron"
8204219,3,"D","great rhododendron"
8204219,3,"E","great rhododendron"
8204219,3,"F","great rhododendron"
8204219,4,"A","great rhododendron"
8204219,4,"B","great rhododendron"
8204219,4,"C","great rhododendron"
8204219,4,"D","great rhododendron"
8204219,5,"B","great rhododendron"
8204219,5,"C","sweet birch"
8204219,5,"D","great rhododendron"
8204219,5,"E","great rhododendron"
8204240,1,"A","great rhododendron"
8204240,1,"B","great rhododendron"
8204240,2,"A","unid. rhododendron"
8204240,2,"B","yellow birch"
8204240,3,"A","great rhododendron"
8204240,3,"B","great rhododendron"
8204240,4,"A","white ash"
8204240,4,"B","great rhododendron"
8290243,1,"A","great rhododendron"
8290243,1,"C","great rhododendron"
8290243,1,"D","great rhododendron"
8290243,1,"E","great rhododendron"
8290243,2,"A","mountain laurel"
8290243,2,"B","great rhododendron"
8290243,2,"C","great rhododendron"
8290243,2,"D","great rhododendron"
8290243,2,"E","great rhododendron"
8290243,3,"A","great rhododendron"
8290243,3,"B","great rhododendron"
8290243,3,"C","great rhododendron"
8290243,3,"D","witch hazel"
8290243,3,"E","great rhododendron"
8290243,4,"A","great rhododendron"
8290243,4,"B","great rhododendron"
8290243,4,"D","great rhododendron"
8290243,4,"E","striped maple"
8290243,5,"A","mountain laurel"
8290243,5,"B","great rhododendron"
8290243,5,"C","great rhododendron"
8290243,5,"D","great rhododendron"
8290243,5,"E","buffalo nut"
8290339,0,"A","flowering dogwood"
8290339,0,"B","carolina silverbell"
8290339,0,"C","sugar maple"
8290339,0,"D","yellow birch"
8290339,0,"E","carolina silverbell"
8290339,0,"F","carolina silverbell"
8290339,0,"G","american beech"
8290339,0,"H","american beech"
8290339,0,"I","carolina silverbell"
8290339,0,"J","mountain laurel"
8290339,0,"L","red maple"
8290339,0,"M","striped maple"
8290339,0,"N","sugar maple"
8290339,0,"P","american beech"
8290339,0,"Q","american beech"
8290339,0,"R","american beech"
8290339,1,"A","american beech"
8290339,1,"B","striped maple"
8290339,1,"C","american beech"
8290339,1,"D","american basswood"
8290339,1,"E","american beech"
8290339,2,"A","american beech"
8290339,2,"B","american beech"
8290339,2,"C","american chestnut"
8290339,2,"D","carolina silverbell"
8290339,2,"E","yellow birch"
8290339,3,"A","carolina silverbell"
8290339,3,"B","carolina silverbell"
8290339,3,"D","american chestnut"
8290339,3,"E","american beech"
8290339,3,"F","carolina silverbell"
8290339,4,"A","american basswood"
8290339,4,"B","american beech"
8290339,4,"D","striped maple"
8290339,4,"E","yellow birch"
8290339,5,"A","striped maple"
8290339,5,"B","carolina silverbell"
8290339,5,"C","american chestnut"
8290339,5,"E","american beech"
8290344,0,"A","great rhododendron"
8290344,0,"B","american beech"
8290344,0,"C","striped maple"
8290344,0,"D","american beech"
8290344,0,"E","american beech"
8290344,0,"F","american beech"
8290344,0,"G","yellow buckeye"
8290344,0,"H","american beech"
8290344,0,"I","sugar maple"
8290344,0,"J","american beech"
8290344,0,"K","striped maple"
8290344,0,"L","american beech"
8290344,0,"M","great rhododendron"
8290344,0,"N","mountain laurel"
8290344,0,"O","mountain laurel"
8290344,0,"P","mountain laurel"
8290344,0,"Q","mountain laurel"
8290344,0,"R","mountain laurel"
8290344,1,"A","red maple"
8290344,1,"B","great rhododendron"
8290344,1,"E","striped maple"
8290344,2,"A","american beech"
8290344,2,"B","american beech"
8290344,2,"C","striped maple"
8290344,2,"D","american beech"
8290344,2,"E","striped maple"
8290344,3,"A","american beech"
8290344,3,"B","american beech"
8290344,3,"C","great rhododendron"
8290344,3,"D","american beech"
8290344,3,"E","american beech"
8290344,3,"F","american beech"
8290344,4,"A","great rhododendron"
8290344,4,"B","mountain laurel"
8290344,4,"C","great rhododendron"
8290344,4,"E","great rhododendron"
8290344,5,"A","american beech"
8290344,5,"B","carolina silverbell"
8290344,5,"D","american beech"
8890009,0,"A","mountain laurel"
8890009,0,"B","russian olive"
8890009,0,"C","mountain laurel"
8890009,0,"D","mountain laurel"
8890009,0,"E","mountain laurel"
8890009,0,"F","mountain laurel"
8890009,0,"G","striped maple"
8890009,0,"H","sweet birch"
8890009,0,"I","american beech"
8890009,0,"J","american beech"
8890009,0,"L","cucumber magnolia"
8890009,0,"M","american beech"
8890009,0,"N","russian olive"
8890009,0,"O","striped maple"
8890009,0,"P","black gum"
8890009,0,"Q","american beech"
8890009,0,"R","mountain laurel"
8890009,1,"A","striped maple"
8890009,1,"B","striped maple"
8890009,1,"C","spicebush"
8890009,1,"D","mountain laurel"
8890009,1,"E","mountain laurel"
8890009,2,"B","black gum"
8890009,2,"C","mountain laurel"
8890009,2,"D","mountain laurel"
8890009,2,"E","mountain laurel"
8890009,3,"A","striped maple"
8890009,3,"B","striped maple"
8890009,3,"C","american hornbeam"
8890009,3,"D","red maple"
8890009,3,"E","mountain laurel"
8890009,3,"F","red maple"
8890009,4,"A","spicebush"
8890009,4,"B","spicebush"
8890009,4,"C","red maple"
8890009,4,"D","spicebush"
8890009,4,"E","american hornbeam"
8890009,5,"A","mountain laurel"
8890009,5,"C","mountain laurel"
8890009,5,"D","black gum"
8890009,5,"E","witch hazel"
8890029,0,"A","mountain laurel"
8890029,0,"B","mountain laurel"
8890029,0,"C","mountain laurel"
8890029,0,"D","mountain laurel"
8890029,0,"E","mountain laurel"
8890029,0,"F","mountain laurel"
8890029,0,"G","black cherry"
8890029,0,"H","sweet birch"
8890029,0,"M","witch hazel"
8890029,0,"N","witch hazel"
8890029,0,"O","witch hazel"
8890029,0,"P","witch hazel"
8890029,0,"Q","witch hazel"
8890029,0,"R","witch hazel"
8890029,1,"A","spicebush"
8890029,1,"B","spicebush"
8890029,1,"C","hop hornbeam"
8890029,1,"D","american hornbeam"
8890029,1,"E","witch hazel"
8890029,2,"A","unid. hickory"
8890029,2,"D","sweet birch"
8890029,2,"E","unid. hickory"
8890029,3,"A","unid. hickory"
8890029,3,"B","black cherry"
8890029,3,"D","unid. hickory"
8890029,3,"E","witch hazel"
8890029,3,"F","unid. hickory"
8890029,4,"A","unid. hickory"
8890029,4,"B","sassafras"
8890029,4,"D","unid. hickory"
8890029,5,"A","unid. hickory"
8890029,5,"B","unid. hickory"
8890029,5,"C","unid. hickory"
8890029,5,"D","witch hazel"
8890029,5,"E","witch hazel"
8890223,0,"B","sugar maple"
8890223,0,"D","black gum"
8890223,0,"E","sassafras"
8890223,0,"F","sassafras"
8890223,0,"G","green ash"
8890223,0,"H","sugar maple"
8890223,0,"I","green ash"
8890223,0,"K","serviceberry"
8890223,0,"L","black cherry"
8890223,0,"M","black gum"
8890223,0,"P","sassafras"
8890223,0,"Q","red maple"
8890223,0,"R","flowering dogwood"
8890223,1,"A","unid. hickory"
8890223,1,"B","sassafras"
8890223,2,"A","witch hazel"
8890223,2,"B","flowering dogwood"
8890223,3,"A","sugar maple"
8890223,3,"B","eastern redbud"
8890223,4,"A","serviceberry"
8890223,4,"B","white oak"
8890236,0,"A","witch hazel"
8890236,0,"C","american hornbeam"
8890236,0,"D","cucumber magnolia"
8890236,0,"F","mountain laurel"
8890236,0,"G","witch hazel"
8890236,0,"I","sweet birch"
8890236,0,"J","american beech"
8890236,0,"K","witch hazel"
8890236,0,"N","red maple"
8890236,0,"O","sourwood"
8890236,0,"P","american beech"
8890236,0,"Q","black gum"
8890236,0,"R","eastern redbud"
8890236,1,"A","american hornbeam"
8890236,1,"B","witch hazel"
8890236,1,"C","red maple"
8890236,1,"D","black gum"
8890236,1,"E","witch hazel"
8890236,2,"A","witch hazel"
8890236,2,"B","sourwood"
8890236,2,"C","striped maple"
8890236,2,"D","sourwood"
8890236,2,"E","american beech"
8890236,3,"A","red maple"
8890236,3,"B","witch hazel"
8890236,3,"C","sourwood"
8890236,3,"D","red maple"
8890236,3,"E","sourwood"
8890236,3,"F","red maple"
8890236,4,"D","red maple"
8890236,5,"A","sourwood"
8890236,5,"B","sourwood"
8890236,5,"C","sourwood"
8890236,5,"D","sourwood"
8890236,5,"E","serviceberry"
8890517,1,"B","black gum"
8890517,3,"B","red maple"
8890538,1,"A","mountain laurel"
8890538,1,"B","mountain laurel"
8890538,2,"A","red maple"
8890538,2,"B","red maple"
8890538,3,"A","mountain laurel"
8890538,3,"B","mountain laurel"
8890538,4,"A","mountain laurel"
8890538,4,"B","mountain laurel"
8890721,1,"A","striped maple"
8890721,1,"B","witch hazel"
8890721,2,"A","american basswood"
8890721,2,"B","unid. hickory"
8890721,3,"A","striped maple"
8890721,3,"B","unid. hickory"
8890721,4,"A","unid. hickory"
8890721,4,"B","striped maple"
8890745,1,"A","black gum"
8890745,1,"B","black cherry"
8890745,2,"A","unidentified"
8890745,2,"B","unid. ash"
8890745,3,"A","red maple"
8890745,3,"B","red maple"
8890745,4,"A","unidentified"
8890745,4,"B","slippery elm"
8892025,0,"A","american beech"
8892025,0,"B","witch hazel"
8892025,0,"D","american beech"
8892025,0,"E","american beech"
8892025,0,"F","striped maple"
8892025,0,"G","great rhododendron"
8892025,0,"H","great rhododendron"
8892025,0,"J","yellow birch"
8892025,0,"K","american beech"
8892025,0,"L","american beech"
8892025,0,"M","great rhododendron"
8892025,0,"N","great rhododendron"
8892025,0,"O","great rhododendron"
8892025,0,"P","great rhododendron"
8892025,0,"Q","great rhododendron"
8892025,0,"R","great rhododendron"
8892025,1,"A","great rhododendron"
8892025,1,"B","great rhododendron"
8892025,1,"C","yellow birch"
8892025,1,"D","striped maple"
8892025,1,"E","great rhododendron"
8892025,2,"A","striped maple"
8892025,2,"B","yellow buckeye"
8892025,2,"C","american beech"
8892025,2,"D","yellow buckeye"
8892025,2,"E","american beech"
8892025,3,"A","great rhododendron"
8892025,3,"B","great rhododendron"
8892025,3,"C","great rhododendron"
8892025,3,"D","american beech"
8892025,3,"E","american beech"
8892025,3,"F","american beech"
8892025,4,"A","great rhododendron"
8892025,4,"C","great rhododendron"
8892025,4,"D","great rhododendron"
8892025,4,"E","striped maple"
8892025,5,"A","yellow buckeye"
8892025,5,"B","american beech"
8892025,5,"C","american beech"
8892025,5,"D","great rhododendron"
8892025,5,"E","american beech"
8892036,0,"A","great rhododendron"
8892036,0,"B","witch hazel"
8892036,0,"C","great rhododendron"
8892036,0,"D","striped maple"
8892036,0,"E","striped maple"
8892036,0,"F","fraser magnolia"
8892036,0,"G","american chestnut"
8892036,0,"H","witch hazel"
8892036,0,"I","great rhododendron"
8892036,0,"J","great rhododendron"
8892036,0,"K","witch hazel"
8892036,0,"L","striped maple"
8892036,0,"M","great rhododendron"
8892036,0,"N","witch hazel"
8892036,0,"O","great rhododendron"
8892036,0,"P","witch hazel"
8892036,0,"Q","witch hazel"
8892036,0,"R","striped maple"
8892036,1,"B","witch hazel"
8892036,1,"D","great rhododendron"
8892036,1,"E","great rhododendron"
8892036,2,"A","striped maple"
8892036,2,"C","striped maple"
8892036,2,"D","striped maple"
8892036,2,"E","striped maple"
8892036,3,"A","great rhododendron"
8892036,3,"B","great rhododendron"
8892036,3,"C","great rhododendron"
8892036,3,"F","striped maple"
8892036,4,"A","american chestnut"
8892036,4,"C","mountain laurel"
8892036,4,"D","witch hazel"
8892036,4,"E","red oak"
8892036,5,"A","witch hazel"
8892036,5,"C","witch hazel"
8892036,5,"D","american chestnut"
8892036,5,"E","striped maple"
8892112,1,"A","striped maple"
8892112,1,"B","witch hazel"
8892112,2,"B","sweet birch"
8892112,3,"A","striped maple"
8892112,3,"B","red oak"
8892112,4,"A","sweet birch"
8892112,4,"B","mountain laurel"
8892130,1,"A","witch hazel"
8892130,1,"B","witch hazel"
8892130,3,"B","witch hazel"
8892130,4,"A","witch hazel"
8892217,1,"A","striped maple"
8892217,1,"B","slippery elm"
8892217,2,"A","striped maple"
8892217,2,"B","tulip poplar"
8892217,3,"A","american basswood"
8892217,3,"B","sugar maple"
8892217,4,"A","box elder"
8892217,4,"B","sugar maple"
8892242,1,"A","witch hazel"
8892242,1,"B","witch hazel"
8892242,2,"A","red maple"
8892242,4,"A","sweet birch"
8892305,1,"A","witch hazel"
8892305,1,"B","chestnut oak"
8892305,2,"A","witch hazel"
8892305,2,"B","slippery elm"
8892305,3,"A","chestnut oak"
8892305,3,"B","paw paw"
8892305,4,"A","paw paw"
8892305,4,"B","paw paw"
8892346,1,"A","sweet birch"
8892346,1,"B","sweet birch"
8892346,2,"A","striped maple"
8892346,2,"B","sweet birch"
8892346,3,"A","sweet birch"
8892346,3,"B","striped maple"
8892346,4,"A","striped maple"
8892346,4,"B","sweet birch"
8892363,2,"C","oak"
8892363,3,"E","na"
8892366,1,"A","quercus nigra"
8892366,1,"B","sweetgumstyraciflua"
8892366,1,"C","persea borbonica"
8892366,1,"D","sweetgumstyraciflua"
8892366,1,"E","magnolia grandiflora"
8892366,2,"A","ilex opaca"
8892366,2,"B","symplocos tinctoria"
8892366,2,"C","ilex opaca"
8892366,2,"D","sweetgumstyraciflua"
8892366,2,"E","symplocos tinctoria"
8892366,3,"A","carya glabra"
8892366,3,"B","magnolia grandiflora"
8892366,3,"C","carya glabra"
8892366,3,"D","fagus grandifolia"
8892366,3,"E","sweetgumstyraciflua"
8892367,1,"A","cottonwood"
8892367,1,"B","cottonwood"
8892367,1,"C","sugar maple"
8892367,1,"D","green ash"
8892367,1,"E","sugar maple"
8892367,2,"A","red maple"
8892367,2,"B","american beech"
8892367,2,"C","american beech"
8892367,2,"D","american beech"
8892367,2,"E","sugar maple"
8892367,3,"A","cherry"
8892367,3,"B","box elder"
8892367,3,"C","locust"
8892367,3,"D","catalpa"
8892367,3,"E","birch"
8892367,4,"A","black locust"
8892367,4,"B","locust"
8892367,4,"C","elm"
8892367,4,"D","green ash"
8892367,4,"E","honey locust"
8892368,1,"A","red oak"
8892368,1,"B","red oak"
8892368,1,"C","red maple"
8892368,1,"D","cottonwood"
8892368,1,"E","red maple"
8892368,2,"A","raintree"
8892368,2,"B","red oak"
8892368,2,"C","red oak"
8892368,2,"D","red oak"
8892368,2,"E","red maple"
8892368,3,"A","green ash"
8892368,3,"B","pin oak"
8892368,3,"C","sugar maple"
8892368,3,"D","sugar maple"
8892368,3,"E","bradford pear"
8892368,4,"A","red oak"
8892368,4,"B","bradford pear"
8892368,4,"C","bradford pear"
8892368,4,"D","lilac"
8892368,4,"E","horse chestnut"
8892368,5,"A","horse chestnut"
8892368,5,"B","red maple"
8892368,5,"C","red maple"
8892368,5,"D","catalpa"
8892368,5,"E","red maple"
